t;a1;a2;a3;a4
0.156;14.171040;1.434897;12.736144;-0.486541
0.157;22.037080;-6.206737;28.243817;-4.075449
0.158;23.517853;-10.233871;33.751724;-3.372653
0.159;14.694776;-10.028281;24.723057;1.673319
0.160;3.376854;-6.648454;10.025307;9.400900
0.161;1.477373;-2.295675;3.773049;17.052907
0.162;12.854173;0.653126;12.201047;21.821540
0.163;28.428493;0.659492;27.769000;21.923628
0.164;33.745308;-2.319469;36.064778;17.293373
0.165;22.387718;-6.795451;29.183169;9.622892
0.166;2.802715;-10.355452;13.158167;1.728903
0.167;-8.214754;-10.676940;2.462186;-3.517394
0.168;0.035777;-6.552164;6.587941;-4.290263
0.169;22.648865;1.490025;21.158840;-0.516999
0.170;43.127168;11.228089;31.899079;6.082134
0.171;47.339248;19.466888;27.872360;12.642882
0.172;34.900710;23.178754;11.721956;16.251733
0.173;17.979510;20.643320;-2.663810;15.069881
0.174;9.161665;12.152205;-2.990540;9.054989
0.175;9.983001;0.000000;9.983001;0.000000
0.176;10.809692;-12.252808;23.062500;-9.131900
0.177;1.850719;-20.985737;22.836456;-15.326979
0.178;-15.557581;-23.755035;8.197454;-16.669423
0.179;-28.614597;-20.108187;-8.506409;-13.078024
0.180;-24.534779;-11.678936;-12.855843;-6.344954
0.181;-3.301376;-1.534112;-1.767264;0.543926
0.182;20.537312;6.976638;13.560675;4.552128
0.183;29.422700;11.432418;17.990281;3.763863
0.184;17.698340;11.159072;6.539268;-1.865815
0.185;-3.530864;7.352816;-10.883680;-10.473483
0.186;-16.111739;2.477352;-18.589091;-18.982629
0.187;-10.494393;-0.817614;-9.676780;-24.270780
0.188;6.649209;-0.824408;7.473617;-24.364378
0.189;19.398940;2.496698;16.902242;-19.203095
0.190;17.373038;7.484723;9.888315;-10.677012
0.191;4.587204;11.457336;-6.870132;-1.916776
0.192;-5.548844;11.839737;-17.388581;3.896566
0.193;-3.931343;7.298501;-11.229843;4.749076
0.194;5.147007;-1.574893;6.721899;0.571851
0.195;8.372724;-12.319296;20.692020;-6.722343
0.196;-2.780571;-21.404444;18.623873;-13.963231
0.197;-22.069632;-25.493663;3.424031;-17.935696
0.198;-32.357644;-22.699776;-9.657868;-16.619219
0.199;-20.526150;-13.356336;-7.169814;-9.978709
0.200;9.977802;0.000000;9.977802;0.000000
0.201;40.689580;13.447760;27.241820;10.049141
0.202;52.892419;23.010730;29.881689;16.854659
0.203;42.685478;26.016208;16.669270;18.318200
0.204;23.086162;21.984088;1.102074;14.361717
0.205;11.629506;12.723071;-1.093566;6.963023
0.206;14.988873;1.606426;13.382447;-0.596510
0.207;24.535869;-7.693666;32.229536;-4.988882
0.208;26.351779;-12.533494;38.885273;-4.122273
0.209;15.720164;-12.188982;27.909146;2.042154
0.210;2.123196;-7.983900;10.107096;11.455954
0.211;-0.065652;-2.623523;2.557871;20.750057
0.212;13.727623;0.991748;12.735874;26.513822
0.213;32.481347;0.998885;31.482463;26.599429
0.214;38.789183;-2.638840;41.428023;20.951704
0.215;25.014661;-8.101789;33.116450;11.642108
0.216;1.401136;-12.460152;13.861288;2.088766
0.217;-11.866452;-12.907101;1.040649;-4.243648
0.218;-2.012015;-7.993028;5.981012;-5.169018
0.219;25.016829;1.634325;23.382504;-0.622051
0.220;49.462463;13.295380;36.167083;7.308198
0.221;54.479977;23.153772;31.326204;15.171363
0.222;39.664666;27.590292;12.074374;19.476385
0.223;19.533692;24.564969;-5.031278;18.036595
0.224;9.038172;14.449147;-5.410975;10.823669
0.225;9.971915;0.000000;9.971915;0.000000
0.226;10.909277;-14.531980;25.441257;-10.888005
0.227;0.296803;-24.846487;25.143289;-18.251658
0.228;-20.233099;-28.062608;7.829508;-19.825785
0.229;-35.552249;-23.675888;-11.876360;-15.535362
0.230;-30.638312;-13.655441;-16.982871;-7.528049
0.231;-5.569940;-1.654603;-3.915337;0.644576
0.232;22.463398;8.360213;14.103185;5.388070
0.233;32.832464;13.542667;19.289797;4.449822
0.234;18.973660;13.124352;5.849308;-2.203293
0.235;-6.004584;8.546927;-14.551510;-12.353639
0.236;-20.801473;2.737561;-23.539034;-22.364792
0.237;-14.264653;-1.173482;-13.091171;-28.562863
0.238;5.767151;-1.180883;6.948033;-28.640954
0.239;20.692393;2.749237;17.943156;-22.548736
0.240;18.421896;8.651801;9.770095;-12.523451
0.241;3.652349;13.370137;-9.717788;-2.245813
0.242;-8.027745;13.884498;-21.912243;4.560542
0.243;-6.085293;8.638100;-14.723392;5.552392
0.244;4.453215;-1.670970;6.124185;0.667874
0.245;8.152965;-14.164571;22.317537;-7.842921
0.246;-4.805505;-24.727503;19.921999;-16.273931
0.247;-27.128384;-29.482918;2.354534;-20.882297
0.248;-38.982257;-26.251250;-12.731007;-19.329838
0.249;-25.264010;-15.437782;-9.826228;-11.594541
0.250;9.965338;0.000000;9.965338;0.000000
0.251;45.364217;15.512577;29.851640;11.653144
0.252;59.385556;26.505239;32.880317;19.525738
0.253;47.598072;29.908302;17.689770;21.200564
0.254;25.021281;25.195970;-0.174689;16.605496
0.255;11.811944;14.484060;-2.672116;8.043182
0.256;15.615175;1.681188;13.933988;-0.688392
0.257;26.532207;-8.978589;35.510796;-5.751927
0.258;28.640270;-14.465225;43.105495;-4.748345
0.259;16.570454;-13.971161;30.541614;2.350136
0.260;1.161636;-9.046783;10.208419;13.171586
0.261;-1.219848;-2.822582;1.602733;23.835920
0.262;14.569329;1.360967;13.208361;30.429453
0.263;35.914086;1.368562;34.545524;30.500478
0.264;43.002833;-2.830973;45.833806;24.003219
0.265;27.215249;-9.139583;36.354832;13.326031
0.266;0.273151;-14.193173;14.466324;2.388808
0.267;-14.863840;-14.777116;-0.086723;-4.849046
0.268;-3.722088;-9.235990;5.513903;-5.901380
0.269;26.902340;1.687263;25.215077;-0.709583
0.270;54.592587;14.934574;39.658013;8.329563
0.271;60.287202;26.137506;34.149696;17.277235
0.272;43.556098;31.184975;12.371123;22.161477
0.273;20.820313;27.770250;-6.949937;20.506359
0.274;8.951822;16.328973;-7.377151;12.295751
0.275;9.958074;0.000000;9.958074;0.000000
0.276;10.966495;-16.396251;27.362747;-12.348966
0.277;-0.997730;-27.998507;27.000778;-20.684245
0.278;-24.055468;-31.566533;7.511065;-22.450478
0.279;-41.190587;-26.555967;-14.634620;-17.578311
0.280;-35.575002;-15.216433;-20.358569;-8.511409
0.281;-7.378077;-1.688520;-5.689557;0.728214
0.282;24.057666;9.551022;14.506644;6.082566
0.283;35.609649;15.306183;20.303466;5.019581
0.284;19.983855;14.735049;5.248806;-2.483538
0.285;-8.076848;9.488048;-17.564895;-13.914570
0.286;-24.709079;2.881458;-27.590537;-25.172048
0.287;-17.452011;-1.552541;-15.899470;-32.124528
0.288;4.917209;-1.560267;6.477476;-32.188912
0.289;21.627059;2.886895;18.740165;-25.323703
0.290;19.200701;9.569651;9.631049;-14.054573
0.291;2.874099;14.934810;-12.060711;-2.518594
0.292;-10.016104;15.589877;-25.605981;5.110865
0.293;-7.792113;9.788895;-17.581008;6.218044
0.294;3.923480;-1.685445;5.608925;0.747423
0.295;7.988072;-15.612598;23.600670;-8.771012
0.296;-6.450107;-27.394929;20.944822;-18.187239
0.297;-31.237115;-32.709104;1.471988;-23.321542
0.298;-44.356859;-29.132922;-15.223937;-21.573177
0.299;-29.106547;-17.129060;-11.977487;-12.931488
0.300;9.950125;0.000000;9.950125;0.000000
0.301;49.142874;17.189313;31.953561;12.979639
0.302;64.636647;29.337139;35.299507;21.734136
0.303;51.570479;33.049755;18.520723;23.583043
0.304;26.578926;27.766809;-1.187883;18.459666
0.305;11.936124;15.859581;-3.923458;8.935554
0.306;16.078384;1.678750;14.399634;-0.764281
0.307;28.094077;-10.079663;38.173741;-6.381990
0.308;30.454559;-16.070301;46.524860;-5.265173
0.309;17.265562;-15.421334;32.686896;2.604311
0.310;0.447508;-9.875003;10.322511;14.587113
0.311;-2.046750;-2.916843;0.870093;26.381322
0.312;15.368711;1.746710;13.622001;33.658440
0.313;38.791199;1.754511;37.036688;33.716585
0.314;46.480273;-2.919628;49.399901;26.518280
0.315;29.036520;-9.946234;38.982754;14.713549
0.316;-0.618526;-15.600278;14.981752;2.635970
0.317;-17.288736;-16.327450;-0.961286;-5.347611
0.318;-5.133660;-10.298930;5.165269;-6.504340
0.319;28.370973;1.667573;26.703399;-0.781629
0.320;58.673850;16.205395;42.468454;9.170001
0.321;64.931375;28.510249;36.421127;19.009589
0.322;46.684687;34.067196;12.617491;24.369703
0.323;21.871031;30.349578;-8.478547;22.536932
0.324;8.895974;17.844016;-8.948043;13.505718
0.325;9.941491;0.000000;9.941491;0.000000
0.326;10.987974;-17.897706;28.885680;-13.549113
0.327;-2.064222;-30.531349;28.467127;-22.681994
0.328;-27.132775;-34.369690;7.236915;-24.605376
0.329;-45.696755;-28.838762;-16.857993;-19.255110
0.330;-39.497325;-16.420079;-23.077246;-9.318293
0.331;-8.789332;-1.653853;-7.135478;0.796822
0.332;25.358201;10.566587;14.791614;6.652094
0.333;37.833070;16.762093;21.070977;5.486680
0.334;20.764558;16.035031;4.729526;-2.713221
0.335;-9.792778;10.211657;-20.004435;-15.193495
0.336;-27.924266;2.931178;-30.855445;-27.471450
0.337;-20.118085;-1.942138;-18.175947;-35.040987
0.338;4.108497;-1.949964;6.058461;-35.093274
0.339;22.259731;2.931593;19.328139;-27.594609
0.340;19.750529;10.273286;9.477243;-15.307193
0.341;2.233886;16.194509;-13.960623;-2.741690
0.342;-11.579356;16.994264;-28.573619;5.560812
0.343;-9.113739;10.768135;-19.881874;6.762117
0.344;3.532292;-1.635537;5.167829;0.812422
0.345;7.868179;-16.719279;24.587458;-9.529119
0.346;-7.763964;-29.493300;21.729336;-19.749629
0.347;-34.517053;-35.270440;0.753387;-25.312782
0.348;-48.640760;-31.429926;-17.210834;-23.403912
0.349;-32.168053;-18.479465;-13.688588;-14.022193
0.350;9.932175;0.000000;9.932175;0.000000
0.351;52.139319;18.527027;33.612292;14.061123
0.352;68.803501;31.590751;37.212750;23.534051
0.353;54.722210;35.537360;19.184850;25.524210
0.354;27.807732;29.781466;-1.973734;19.969891
0.355;12.011623;16.904074;-4.892450;9.662155
0.356;16.403176;1.615642;14.787534;-0.826052
0.357;29.281236;-11.013792;40.295028;-6.894671
0.358;31.857542;-17.385840;49.243382;-5.685574
0.359;17.823372;-16.580867;34.404238;2.810995
0.360;-0.057984;-10.501760;10.443776;15.737768
0.361;-2.599622;-2.926715;0.327093;28.449729
0.362;16.117936;2.137631;13.980305;36.281442
0.363;41.171365;2.145437;39.025928;36.328230
0.364;49.306052;-2.925016;52.231068;28.559938
0.365;30.520918;-10.554508;41.075426;15.839510
0.366;-1.306696;-16.722153;15.415457;2.836470
0.367;-19.213846;-17.594520;-1.619326;-5.751912
0.368;-6.281955;-11.198478;4.916522;-6.993125
0.369;29.480320;1.591067;27.889253;-0.840012
0.370;61.844375;17.160158;44.684217;9.850814
0.371;68.563375;30.353320;38.210055;20.412415
0.372;49.147670;36.329356;12.818314;26.157237
0.373;22.714051;32.383105;-9.669055;24.180066
0.374;8.864865;19.040704;-10.175839;14.484464
0.375;9.922179;0.000000;9.922179;0.000000
0.376;10.979469;-19.082548;30.062017;-14.519206
0.377;-2.930591;-32.524395;29.593803;-24.296202
0.378;-29.560829;-36.563131;7.002302;-26.345917
0.379;-49.218676;-30.603974;-18.614702;-20.608979
0.380;-42.539991;-17.317318;-25.222673;-9.969536
0.381;-9.859495;-1.565776;-8.293720;0.852176
0.382;26.399204;11.423202;14.976001;7.111418
0.383;39.572755;17.945602;21.627153;5.863251
0.384;21.347113;17.063295;4.283818;-2.898318
0.385;-11.193075;10.748820;-21.941895;-16.223762
0.386;-30.527684;2.905522;-33.433206;-29.323064
0.387;-22.318902;-2.332131;-19.986771;-37.388577
0.388;3.347636;-2.339876;5.687512;-37.430209
0.389;22.639527;2.901947;19.737580;-29.421126
0.390;20.107040;10.793359;9.313680;-16.314290
0.391;1.715054;17.187591;-15.472537;-2.920986
0.392;-12.775235;18.132201;-30.907436;5.922277
0.393;-10.104566;11.591849;-21.696415;7.199021
0.394;3.257541;-1.535749;4.793290;0.864597
0.395;7.784889;-17.533556;25.318446;-10.137402
0.396;-8.790861;-31.098980;22.308120;-21.002730
0.397;-37.075619;-37.253836;0.178217;-26.909178
0.398;-51.975186;-33.217714;-18.757472;-24.871021
0.399;-34.549849;-19.532717;-15.017132;-14.895892
0.400;9.911505;0.000000;9.911505;0.000000
0.401;54.454417;19.569230;34.885187;14.926706
0.402;72.026017;33.340795;38.685222;24.974027
0.403;57.159165;37.456753;19.702412;27.076526
0.404;28.750652;31.314782;-2.564130;21.177071
0.405;12.046602;17.665190;-5.618588;10.242702
0.406;16.610941;1.505774;15.105168;-0.875385
0.407;30.146159;-11.796671;41.942830;-7.303941
0.408;32.904709;-18.445229;51.349938;-6.021029
0.409;18.259930;-17.486516;35.746446;2.975842
0.410;-0.388492;-10.956116;10.567624;16.655104
0.411;-2.924485;-2.869505;-0.054980;30.097985
0.412;16.811459;2.524696;14.286762;38.370694
0.413;43.107921;2.532347;40.575574;38.407490
0.414;51.556156;-2.864271;54.420427;30.184659
0.415;31.706714;-10.993077;42.699790;16.735120
0.416;-1.820191;-17.594952;15.774762;2.995878
0.417;-20.703732;-18.611082;-2.092650;-6.073201
0.418;-7.198577;-11.950072;4.751495;-7.381370
0.419;30.280918;1.471033;28.809885;-0.886364
0.420;64.226128;17.844639;46.381489;10.391075
0.421;71.316662;31.738420;39.578242;21.525101
0.422;51.031196;38.053181;12.978014;27.574383
0.423;23.374490;33.941843;-10.567352;25.482101
0.424;8.853511;19.960198;-11.106687;15.259654
0.425;9.900155;0.000000;9.900155;0.000000
0.426;10.945968;-19.991743;30.937711;-15.286787
0.427;-3.621691;-34.047966;30.426275;-25.572802
0.428;-31.424503;-38.227387;6.802884;-27.721740
0.429;-51.887175;-31.921868;-19.965308;-21.678615
0.430;-44.821922;-17.952717;-26.869206;-10.483797
0.431;-10.637503;-1.437025;-9.200478;0.895864
0.432;27.211361;12.135980;15.075381;7.473757
0.433;40.890881;18.888369;22.002511;6.160157
0.434;21.759070;17.854485;3.904585;-3.044182
0.435;-12.314415;11.126713;-23.441128;-17.035224
0.436;-32.591776;2.820410;-35.412186;-30.780671
0.437;-24.105361;-2.714501;-21.390860;-39.235641
0.438;2.639174;-2.722025;5.361199;-39.267909
0.439;22.808852;2.813718;19.995134;-30.856676
0.440;20.301137;11.156684;9.144453;-17.105390
0.441;1.302671;17.948128;-16.645457;-3.061751
0.442;-13.654643;19.034744;-32.689386;6.205907
0.443;-10.812323;12.274899;-23.087222;7.541656
0.444;3.080094;-1.398245;4.478339;0.905491
0.445;7.731073;-18.098235;25.829309;-10.613907
0.446;-9.569443;-32.279277;22.709834;-21.983808
0.447;-39.007936;-38.736134;-0.271801;-28.158319
0.448;-54.485244;-34.563104;-19.922140;-26.018342
0.449;-36.341693;-20.327564;-16.014129;-15.578758
0.450;9.888130;0.000000;9.888130;0.000000
0.451;56.177523;20.354482;35.823041;15.602443
0.452;74.428123;34.653444;39.774680;26.097518
0.453;58.975118;38.883647;20.091470;28.286951
0.454;29.445598;32.432713;-2.987116;22.117815
0.455;12.047992;18.184598;-6.136606;10.694847
0.456;16.720192;1.360799;15.359393;-0.913784
0.457;30.734886;-12.442845;43.177731;-7.622304
0.458;33.644974;-19.278482;52.923455;-6.281814
0.459;18.589622;-18.170928;36.760550;3.103917
0.460;-0.573153;-11.263477;10.690324;17.367365
0.461;-3.061031;-2.759843;-0.301189;31.376964
0.462;17.445623;2.900818;14.544805;39.990846
0.463;44.649300;2.908189;41.741111;40.018872
0.464;53.298818;-2.751875;56.050693;31.442979
0.465;32.628387;-11.287008;43.915395;17.428308
0.466;-2.184328;-18.250783;16.066455;3.119177
0.467;-21.815682;-19.406577;-2.409105;-6.321550
0.468;-7.911862;-12.568013;4.656152;-7.681278
0.469;30.817070;1.318594;29.498476;-0.922146
0.470;65.926716;18.298855;47.627861;10.807857
0.471;73.309198;32.728717;40.580481;22.382898
0.472;52.411541;39.310910;13.100631;28.666155
0.473;23.874713;35.088655;-11.213942;26.484507
0.474;8.857613;20.638970;-11.781358;15.856045
0.475;9.875435;0.000000;9.875435;0.000000
0.476;10.891783;-20.661584;31.553367;-15.876503
0.477;-4.159640;-35.164317;31.004677;-26.552895
0.478;-32.798926;-39.433627;6.634702;-28.777261
0.479;-53.817862;-32.854341;-20.963522;-22.498647
0.480;-46.448017;-18.365223;-28.082794;-10.877768
0.481;-11.166238;-1.278251;-9.887987;0.929309
0.482;27.822189;12.718912;15.103277;7.750938
0.483;41.842610;19.618842;22.223767;6.387116
0.484;22.024621;18.439357;3.585264;-3.155599
0.485;-13.189822;11.369083;-24.558906;-17.654593
0.486;-34.181569;2.689273;-36.870841;-31.892388
0.487;-25.523650;-3.083017;-22.440633;-40.643326
0.488;1.985958;-3.090211;5.076169;-40.667384
0.489;22.804246;2.680197;20.124049;-31.949055
0.490;20.359564;11.386689;8.972875;-17.706907
0.491;0.983368;18.506368;-17.523000;-3.168698
0.492;-14.262409;19.729796;-33.992205;6.421226
0.493;-11.278843;12.831035;-24.109878;7.801563
0.494;2.983416;-1.233182;4.216598;0.936487
0.495;7.700690;-18.450713;26.151404;-10.974778
0.496;-10.133794;-33.093463;22.959669;-22.726199
0.497;-40.398169;-39.785229;-0.612940;-29.102778
0.498;-56.281672;-35.525229;-20.756443;-26.885097
0.499;-37.623037;-20.898326;-16.724710;-16.094203
0.500;9.862071;0.000000;9.862071;0.000000
0.501;57.387740;20.916938;36.470802;16.111642
0.502;76.119519;35.587252;40.532267;26.943394
0.503;60.253042;39.884932;20.368110;29.197490
0.504;29.926011;33.193335;-3.267324;22.824869
0.505;12.021675;18.498694;-6.477019;11.034374
0.506;16.746926;1.190435;15.556491;-0.942593
0.507;31.087764;-12.965765;44.053529;-7.860945
0.508;34.121412;-19.912556;54.033969;-6.477119
0.509;18.825334;-18.663076;37.488410;3.199746
0.510;-0.637155;-11.446033;10.808878;17.899809
0.511;-3.043422;-2.610046;-0.433376;32.332166
0.512;18.018329;3.260548;14.757781;41.199720
0.513;45.839437;3.267546;42.571891;41.220068
0.514;54.595263;-2.600017;57.195280;32.380093
0.515;33.316972;-11.458193;44.775165;17.944054
0.516;-2.421313;-18.718134;16.296820;3.210825
0.517;-22.600480;-20.007445;-2.593034;-6.505968
0.518;-8.447190;-13.065519;4.618329;-7.903762
0.519;31.127575;1.143010;29.984565;-0.948664
0.520;67.040996;18.557745;48.483250;11.116423
0.521;74.645161;33.379818;41.265343;23.017329
0.522;53.356191;40.166341;13.189850;29.472809
0.523;24.234620;35.879155;-11.644535;27.224368
0.524;8.873474;21.109310;-12.235836;16.295773
0.525;9.848041;0.000000;9.848041;0.000000
0.526;10.820627;-21.124204;31.944830;-16.310391
0.527;-4.564114;-35.928516;31.364401;-27.273233
0.528;-33.750552;-40.244704;6.494152;-29.552197
0.529;-55.112817;-33.455871;-21.656946;-23.100035
0.530;-47.510719;-18.588838;-28.921881;-11.166378
0.531;-11.483234;-1.098308;-10.384926;0.953782
0.532;28.256335;13.184924;15.071411;7.953537
0.533;42.476841;20.162564;22.314276;6.552818
0.534;22.164983;18.845198;3.319785;-3.236851
0.535;-13.849005;11.496660;-25.345666;-18.105752
0.536;-35.355376;2.523395;-37.878772;-32.701234
0.537;-26.615637;-3.432945;-23.182692;-41.666301
0.538;1.389440;-3.439728;4.829169;-41.683181
0.539;22.657128;2.512552;20.144575;-32.740995
0.540;20.305420;11.503821;8.801599;-18.142458
0.541;0.745181;18.889141;-18.143960;-3.246042
0.542;-14.637979;20.242409;-34.880387;6.576752
0.543;-11.540748;13.272958;-24.813706;7.989059
0.544;2.953247;-1.048990;4.002237;0.958819
0.545;7.688637;-18.623625;26.312262;-11.234447
0.546;-10.513951;-33.593691;23.079740;-23.259706
